Fecha,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5,Punto 6,Punto 7,Punto 8,Punto 9,Punto 10,Punto 11,Punto 12,Punto 13,Punto 14,Punto 15,Punto 16,Punto 17,Total
2019-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-15,12006,0,61454,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,103460
2019-04-16,12738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12738
2019-04-17,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,24000
2019-04-18,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,68000
2019-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-20,0,0,0,102000,0,0,50230,0,0,0,0,0,0,0,0,0,0,152230
2019-04-21,0,0,0,105000,0,0,0,0,0,0,0,0,0,0,0,12500,0,117500
2019-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-27,0,0,20000,0,0,0,2220,0,0,0,0,0,0,0,0,0,0,22220
2019-04-28,0,31054,0,99868,0,0,40000,0,0,0,0,0,0,0,0,0,0,170922
2019-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-03,0,0,0,0,0,0,117580,0,0,0,0,0,0,0,0,0,0,117580
2019-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-06,0,0,0,0,0,0,24568,0,0,0,0,0,0,0,0,0,0,24568
2019-05-07,106030,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,128030
