Fecha,BCA,BCS,CEN,NES,NOR,NTE,OCC,ORI,PEN
2020-05-27,45.15987,5.7018166,152.46603,156.1794,73.480133,92.358299,191.88008,142.96178,34.512489
2020-05-28,46.614243,5.7589126,150.12134,159.80113,75.021942,93.709709,192.265,139.96056,36.052547
2020-05-29,45.634457,5.8326225,144.27565,143.64157,76.763542,93.278458,191.01857,129.43655,34.622536
2020-05-30,41.028179,5.792901,137.66612,131.84958,76.891884,87.586777,180.16216,122.65912,30.236322
2020-05-31,37.853771,5.5888624,128.83234,119.79375,73.655159,77.735924,160.82053,116.85561,28.281576
2020-06-01,43.937767,6.0447164,141.3643,142.59804,77.606483,86.195656,188.86278,122.46588,28.672592
2020-06-02,45.897346,6.1086025,148.05049,149.85519,80.488411,91.118782,199.26476,126.38974,28.026741
2020-06-03,48.599659,6.4130216,150.05873,157.3873,84.500168,96.619507,203.3448,126.00203,27.524683
2020-06-04,48.990349,6.4600649,149.37422,164.9446,88.506386,100.30234,204.63712,128.69896,26.95116
2020-06-05,45.300186,6.3472867,147.35132,165.97441,88.036812,101.68453,204.08501,132.21358,25.649796
2020-06-06,38.23288,6.135169,143.00528,157.75891,79.877647,97.960632,192.53079,131.00101,26.178568
2020-06-07,35.515625,5.870625,134.68346,149.76793,74.283195,86.626305,167.07147,126.30305,28.451279
2020-06-08,38.558586,6.0624471,150.58798,179.3902,78.49543,98.156387,194.74628,137.49921,34.114262
2020-06-09,41.476429,6.0419159,153.15289,186.72853,79.157776,99.250084,200.81232,143.64937,36.380508
2020-06-10,45.021111,6.2556992,157.0488,174.29581,81.247589,99.335373,199.80992,142.32578,36.414349
2020-06-11,47.625042,6.7320199,154.3754,165.246,85.4263,99.978432,200.78275,134.86575,35.482979
2020-06-12,46.481796,7.32236,150.58363,159.99245,89.12336,98.430367,197.52269,135.74631,33.554359
2020-06-13,41.984547,7.4595041,143.26918,149.05157,89.178963,92.358826,184.4203,130.68633,31.592543
2020-06-14,38.768997,7.1615901,128.37997,138.46286,85.12645,82.644638,165.15503,125.18596,29.978613
2020-06-15,44.893234,7.6648822,144.93367,163.84241,87.777328,94.202942,193.63766,132.53325,32.503231
2020-06-16,45.908844,7.8055549,151.93948,172.80956,89.038521,99.316658,204.20712,134.18895,32.370926
