Fecha,BCA,BCS,CEN,NES,NOR,NTE,OCC,ORI,PEN,Nacional
2020-03-15,30.76708105,6.14715302,162.505251,143.6619652,50.28780785,67.97574038,196.7073422,145.7589178,36.89286282,839.911366
2020-03-16,27.61392317,6.016253303,145.8596129,122.1293125,49.87593419,63.22665304,172.1999768,138.3230755,35.59119063,760.881641
2020-03-17,30.90706672,6.153663528,159.5947645,140.6234075,51.28519455,68.66772255,187.2930217,141.0148569,36.59633621,822.3167942
2020-03-18,32.27264202,5.932905789,163.0987037,148.3626735,50.54670857,71.64481353,199.1924475,147.6582143,37.41749786,856.3255065
2020-03-19,32.25672075,5.885565843,166.730196,153.5810728,50.1125922,70.8544971,199.3543302,149.1792999,37.82517045,865.9162779
2020-03-20,32.01928679,5.813842774,166.655431,147.2030528,49.75119362,71.89507036,200.0233384,149.9314863,38.15120605,861.6279278
2020-03-21,31.01338865,5.512749025,163.8042486,134.26625,50.32776058,72.08183583,199.34275,149.7274525,37.13529663,843.3823853
2020-03-22,30.67646043,5.323822422,161.5550204,130.5396302,49.76545581,71.17345598,196.6243555,147.8837987,35.50694317,828.5256475
2020-03-23,31.94834953,5.473322599,162.5639212,137.9425906,51.89189778,72.84455093,197.4525072,149.2460865,34.75540779,844.0845644
2020-03-24,31.39049715,5.50288718,164.8195219,144.5289216,53.53449628,73.95633815,196.414893,147.0076508,34.73732643,852.1416043
2020-03-25,31.54603719,5.480596947,163.0815786,154.734021,53.78557969,76.02393461,197.4321007,149.8899955,34.79169404,866.9602766
2020-03-26,31.01902337,5.435526002,164.1112844,154.8749706,53.52486839,77.2927863,196.5679273,149.2833198,34.51785007,866.7799815
2020-03-27,30.80505039,5.257596057,162.401848,156.2184199,52.73238184,75.64545148,195.1978432,150.6104182,34.7682585,863.8664512
2020-03-28,30.16839503,5.085948233,163.2052957,155.6679243,51.19052842,75.49604416,194.7767009,151.0507666,35.19120222,861.7404281
2020-03-29,29.93004663,4.977267821,163.2287598,141.4862409,50.13814231,74.01765225,195.4850576,150.5379697,34.78745504,843.8503931
2020-03-30,31.11924609,5.065309267,160.7974588,135.2664414,50.67820338,75.49555219,192.5386703,146.041945,35.6114932,832.5813128
2020-03-31,30.98492209,5.019073737,158.3508778,138.5741551,50.68934179,75.35964478,189.2010565,144.0245326,35.22297609,827.6460983
2020-04-01,31.05509381,5.042972877,155.8987725,136.037737,50.87902346,75.2916638,185.5980437,142.6250777,33.8277645,816.3699673
2020-04-02,30.94156851,5.180836662,154.0832223,136.1266887,50.17418395,74.44619422,181.6767759,143.1892643,33.74892455,809.6241117
2020-04-03,30.27328386,5.21557993,153.4169357,137.7247568,50.0342882,74.18245053,180.694762,145.5305972,34.38877122,811.5404964
2020-04-04,29.97897394,5.186122913,152.4709312,127.9797237,50.52131401,74.38267504,182.9849802,144.7833006,34.56027993,803.0627555
2020-04-05,29.50798638,4.980499349,146.5514736,112.8969096,48.51262246,68.52184658,176.2940584,137.3681101,31.88977189,756.5200743
2020-04-06,29.41792509,5.112262711,146.8276996,114.8267502,49.23860797,72.56667848,171.9539622,140.996728,33.8776456,764.7577248
2020-04-07,28.93232927,5.053104994,144.7663648,122.1170921,50.50605376,72.46491797,169.7545743,140.8449734,34.39562773,768.6806228
2020-04-08,28.47142585,5.018980201,146.0296889,131.4927593,50.48075298,73.04742589,170.4696303,143.4570616,34.35595868,782.72152
2020-04-09,27.15824563,4.74211667,137.5742586,131.1482437,48.29857325,70.87178587,159.9371325,142.2145992,34.07961617,755.8703593
2020-04-10,25.66173418,4.447069246,127.7311094,123.397027,45.95890689,59.33115873,142.8172426,134.5578416,32.98862916,696.7010607
2020-04-11,25.92918931,4.408961482,137.0172547,121.9860231,45.59224252,67.67402917,156.0734813,137.4953231,34.23549382,730.6060788
2020-04-12,26.95311161,4.426856151,142.3518491,136.5132218,45.12846342,69.6397419,170.3526589,141.9422564,35.87335394,772.879082
2020-04-13,27.01271293,4.630468653,147.164808,129.0296856,46.97941806,66.97951261,168.7902069,143.6274434,36.38316647,770.6546938
2020-04-14,26.2816664,4.839974613,145.6562517,114.0224005,48.82434148,66.46705329,167.1357653,142.0565275,35.95774707,750.9160072
2020-04-15,26.48605751,4.90718234,147.452362,104.702774,50.12281457,69.95444531,169.315673,141.0895017,34.98670025,748.7248755
2020-04-16,26.04228593,4.94078503,147.3808367,104.2697193,50.09824475,71.52915372,168.5145931,135.3090626,34.33624007,742.2552979
2020-04-17,25.50652184,4.99037173,147.4266469,112.6829149,50.71004962,71.60141122,167.6994501,138.6639493,34.88307466,754.0301098
2020-04-18,25.3460053,4.931395057,151.2582047,124.8845407,51.56555368,73.27438444,175.1377664,141.4560069,35.91759595,784.0490443
2020-04-19,26.2773154,4.899192385,153.0474951,140.4015432,51.38349819,72.67440554,181.2217848,144.2442117,35.91976953,809.6962753
2020-04-20,25.71566372,4.920729598,149.8703877,141.7126189,52.16388068,73.08613825,173.7168836,144.5543513,35.79274786,801.607473
2020-04-21,25.49684667,5.067540022,148.3087534,141.6174838,53.58802095,73.6797297,170.5628646,144.1295777,35.46928665,797.911746
2020-04-22,27.1408962,5.189303451,148.4615417,147.3537001,54.41589547,74.26062599,169.6008803,144.9274139,35.27464783,806.5256128
2020-04-23,29.39377036,5.283054209,147.2006686,146.3017847,55.56264538,74.14379055,168.1780193,144.3352477,36.25325795,806.5178008
2020-04-24,31.56574439,5.505333756,146.8560602,146.4138798,57.74023529,75.06063603,168.5072477,143.9807421,36.90884841,812.5088483
2020-04-25,34.70760162,5.687863613,147.1314238,146.7733579,59.14958976,76.42140962,171.5176991,143.7013851,36.91218801,821.9971275
2020-04-26,38.02203709,5.928402004,148.4005354,136.101434,62.08378727,77.19090931,178.7026624,137.1269025,35.34014627,818.8213241
2020-04-27,36.25128771,6.185186171,144.8816629,132.1986538,63.60333224,77.01645592,169.8184836,129.7060067,34.18385404,794.009439
2020-04-28,35.30778463,6.297769769,144.2763577,135.6273791,64.87499971,77.73798996,166.7101029,131.8804586,33.0011786,795.5815141
2020-04-29,36.46347756,6.13307185,143.5175797,133.9130302,65.98813473,77.16867464,165.5498862,136.8508141,32.87040407,798.150245
2020-04-30,35.17338835,6.137841381,141.2878829,121.8870977,66.98526605,79.1435497,161.4261247,131.0745571,32.18484242,775.093633
2020-05-01,32.8103914,5.864417981,122.5953034,113.6128391,65.98048655,74.62600572,150.2016944,125.1949808,29.47002757,720.1784338
2020-05-02,34.1918429,5.829215757,130.3629455,135.0977746,66.77012764,78.94219322,160.3202648,126.9597718,31.63089637,770.1943838
2020-05-03,35.81922028,6.074600513,142.3215295,152.3278463,68.69105751,81.37884001,174.4201105,134.4167627,33.70957564,828.8592969
2020-05-04,36.60190718,6.073435775,142.2088678,151.6881991,69.21346343,80.74316888,173.2402562,136.4225016,33.83462543,830.2569944
2020-05-05,39.04723428,5.894961488,143.4564469,151.7635826,70.84132276,79.8829486,166.1608447,135.7858224,34.56905385,827.2936031
2020-05-06,41.24349621,6.079186802,141.2265365,139.9519175,74.01127205,79.33372243,161.3645187,132.5016957,34.34284977,809.6794205
2020-05-07,41.68543822,5.931237304,138.8152562,138.710207,73.88986632,80.13909897,158.5152629,124.9545407,31.44516238,793.9842201
2020-05-08,41.78065603,5.649479431,139.3000148,138.7964585,73.30036917,77.43840764,161.4222333,127.8461881,31.71731602,797.2520406
2020-05-09,41.4324608,5.588369628,141.3792516,125.4125642,71.43008884,77.59057389,165.0524754,133.1846616,33.09126546,794.4002095
2020-05-10,41.00077678,5.537803501,140.4217102,123.8629659,69.98685235,77.62909199,167.1516605,127.3983468,29.03951064,782.3378467
2020-05-11,39.76129604,5.606555806,137.3842462,127.1709589,68.68429478,77.0419423,164.3486603,129.0450472,28.2489918,777.4246649
2020-05-12,36.42589932,5.603618599,139.0290879,131.0979301,68.72196168,77.41470247,161.30596,129.9917904,29.0416665,778.3959604
2020-05-13,35.30374274,5.746704226,139.8134872,138.4004588,68.20724848,79.43737812,164.0521782,136.9868879,30.59042238,798.2448772
2020-05-14,35.94539354,5.79651024,140.4213999,142.1170404,66.93836159,79.97744716,166.2924568,139.3025896,32.44159328,809.0800269
2020-05-15,37.24533707,5.630592679,141.6694476,147.1375909,66.49557409,80.92107187,170.2462949,142.9621371,33.77460469,826.0666416
2020-05-16,39.43214096,5.572506453,145.8598652,145.5336276,67.75329871,82.98915132,173.3251049,145.4756646,35.16717203,841.201867
2020-05-17,40.36342497,5.489878047,147.5336172,147.9932864,69.47654378,84.05176207,179.5688739,145.0773956,36.17949812,855.9147958
2020-05-18,38.73823975,5.489158111,145.2514258,151.1424961,69.25870661,86.38466012,176.2812109,138.0835027,33.80344131,844.6265942
2020-05-19,34.08886061,5.466474443,144.29956,155.035202,69.95883974,86.81148108,172.940575,137.6514589,31.85439095,838.1915882
2020-05-20,34.18100867,5.579914831,145.0897753,160.3452998,70.1453102,87.08932105,176.2118447,141.2485134,33.41674167,853.2301131
2020-05-21,36.44459958,5.630476091,146.4750218,154.3432613,69.44847857,82.24973544,177.5821482,140.6535944,33.69746424,846.4835613
2020-05-22,37.73575454,5.655288413,144.5407544,149.8273843,69.54349055,85.15450167,179.6430132,133.4047588,33.07186144,838.7629964
2020-05-23,37.35768284,5.651572788,145.194255,158.5862615,70.30148789,87.95097475,182.4792439,136.2152279,31.30708271,854.9047251
2020-05-24,39.09778598,5.528795913,147.004231,159.7470742,70.38025561,87.03841507,187.5659913,138.2859179,30.86455878,864.5376301
2020-05-25,40.8652453,5.566905853,145.8895937,152.7901059,69.94081815,87.51833405,184.2443238,140.532535,32.76697141,860.2693174
2020-05-26,42.41711969,5.6741774,132.3347172,144.9608427,71.52924888,86.9464145,181.0982533,140.8799555,32.82548424,838.6111334
2020-05-27,43.66326403,5.685814691,147.7644325,150.376326,72.64807025,88.91155535,184.2736804,140.6198533,33.71244324,867.583556
2020-05-28,44.75641161,5.721936155,145.2893831,153.949383,73.68885183,89.97698082,184.6522057,137.164967,35.20446838,870.5137304
2020-05-29,44.37460964,5.765117803,140.4784315,139.0776801,75.54339977,90.48888746,184.9395743,127.7342301,34.10835741,842.6973858
2020-05-30,42.52959156,5.786909261,141.0026296,136.3888332,77.20237251,89.69781357,183.4989054,123.1686193,31.01616209,830.2954189
2020-05-31,42.19506807,5.771993146,142.559859,136.6092638,77.66955066,87.96642693,185.0264932,123.424542,30.24459098,830.8170369
2020-06-01,43.72693552,6.017437236,141.556821,142.2053082,77.58106829,86.8855706,190.4924049,123.1458249,28.44918871,840.1658781
2020-06-02,44.59557939,6.077165451,143.8487383,143.5125889,79.71643606,87.89340627,191.1985762,124.8271894,27.49610561,849.3580644
2020-06-03,46.98905783,6.395023724,145.4313665,151.5393447,83.54331832,93.0137382,195.2839226,123.9379293,26.88662395,873.1592865
2020-06-04,47.03781685,6.418586543,144.5663107,158.9045046,86.93368621,96.3070083,196.5344476,126.1283079,26.31717698,889.447325
2020-06-05,44.04956698,6.273825462,143.4731523,160.700944,86.63748324,98.64356882,197.5901865,130.4747373,25.2688714,893.5211821
2020-06-06,39.63199952,6.128823245,146.4711908,163.190157,80.20019198,100.3217016,196.0966122,131.5451597,26.85375253,890.2899067
2020-06-07,39.58876949,6.062988286,149.0344355,170.7909357,78.33181621,98.02683414,192.2182958,133.4030613,30.42607301,896.39772
2020-06-08,38.37356604,6.035087919,150.7930626,178.8961382,78.46972418,98.94203592,196.4266714,138.2626217,33.84845979,920.2589025
2020-06-09,40.30005095,6.010822044,148.8063294,178.8252696,78.39856335,95.73688062,192.6834914,141.8734394,35.69170921,918.6981393
2020-06-10,43.52910353,6.238142843,152.2058835,167.8195943,80.32757036,95.62825009,191.8891703,139.994272,35.57021558,913.2119404
2020-06-11,45.72692476,6.688795392,149.4065177,159.1948676,83.90833129,95.99600249,192.8326926,132.1719215,34.64829856,900.7238422
2020-06-12,45.19855584,7.237613611,146.6203905,154.9090475,87.70676076,95.4867243,191.2367065,133.9610056,33.05604389,895.5822282
2020-06-13,43.52095753,7.451788553,146.7414868,154.1830449,89.53906659,94.58487959,187.8359095,131.2291726,32.40736206,887.5567069
2020-06-14,43.21525767,7.396254553,142.0592875,157.8989669,89.76605591,93.52115644,190.0134021,132.2231751,32.05941876,887.8516131
2020-06-15,44.6778178,7.630291399,145.1310521,163.3911687,87.74858252,94.95694734,195.3084855,133.2690901,32.24998118,904.5916286
2020-06-16,44.60675128,7.765384728,147.6273567,165.4954182,88.18454083,95.80109807,195.9408708,132.5299781,31.75804136,909.9015679
