Fecha,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán,Morelos,Nacional,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-02-17,193.02322,32.841713,5.9473062,36.560329,137.89487,64.910133,159.81372,135.75972,193.02322,64.910133,193.02322,137.89487,159.81372,193.02322,159.81372,193.02322,159.81372,815.79871,193.02322,135.75972,137.89487,137.89487,193.02322,36.560329,193.02322,49.047676,49.047676,137.89487,135.75972,137.89487,137.89487,36.560329,193.02322
2020-02-18,203.16893,33.821854,6.1866255,38.116814,141.03717,67.084549,166.90469,143.80006,203.16893,67.084549,203.16893,141.03717,166.90469,203.16893,166.90469,203.16893,166.90469,851.42627,203.16893,143.80006,141.03717,141.03717,203.16893,38.116814,203.16893,51.305557,51.305557,141.03717,143.80006,141.03717,141.03717,38.116814,203.16893
2020-02-19,205.96198,34.545116,6.3296847,39.596107,143.43282,68.674889,164.67508,138.10977,205.96198,68.674889,205.96198,143.43282,164.67508,205.96198,164.67508,205.96198,164.67508,852.98523,205.96198,138.10977,143.43282,143.43282,205.96198,39.596107,205.96198,51.659798,51.659798,143.43282,138.10977,143.43282,143.43282,39.596107,205.96198
2020-02-20,206.77292,34.699417,6.3884263,39.510712,144.09912,69.306435,166.37285,136.22598,206.77292,69.306435,206.77292,144.09912,166.37285,206.77292,166.37285,206.77292,166.37285,855.5152,206.77292,136.22598,144.09912,144.09912,206.77292,39.510712,206.77292,52.139328,52.139328,144.09912,136.22598,144.09912,144.09912,39.510712,206.77292
2020-02-21,204.62105,34.109871,6.4947338,37.729897,137.76897,69.353088,165.77034,137.24437,204.62105,69.353088,204.62105,137.76897,165.77034,204.62105,165.77034,204.62105,165.77034,845.79413,204.62105,137.24437,137.76897,137.76897,204.62105,37.729897,204.62105,52.701836,52.701836,137.76897,137.24437,137.76897,137.76897,37.729897,204.62105
2020-02-22,194.10329,31.070173,6.5092254,31.16795,126.38814,65.205315,157.03543,127.87641,194.10329,65.205315,194.10329,126.38814,157.03543,194.10329,157.03543,194.10329,157.03543,791.2157,194.10329,127.87641,126.38814,126.38814,194.10329,31.16795,194.10329,51.859756,51.859756,126.38814,127.87641,126.38814,126.38814,31.16795,194.10329
2020-02-23,169.64043,28.502758,6.104353,28.010571,119.07686,58.376781,142.63503,110.65537,169.64043,58.376781,169.64043,119.07686,142.63503,169.64043,142.63503,169.64043,142.63503,710.31757,169.64043,110.65537,119.07686,119.07686,169.64043,28.010571,169.64043,47.315426,47.315426,119.07686,110.65537,119.07686,119.07686,28.010571,169.64043
2020-02-24,195.41086,33.726044,6.1330714,34.014572,131.66954,66.591797,163.60297,134.62099,195.41086,66.591797,195.41086,131.66954,163.60297,195.41086,163.60297,195.41086,163.60297,815.63617,195.41086,134.62099,131.66954,131.66954,195.41086,34.014572,195.41086,49.866329,49.866329,131.66954,134.62099,131.66954,131.66954,34.014572,195.41086
2020-02-25,205.44606,34.152458,6.0976324,36.655197,137.0726,69.672783,168.01175,137.63316,205.44606,69.672783,205.44606,137.0726,168.01175,205.44606,168.01175,205.44606,168.01175,845.508,205.44606,137.63316,137.0726,137.0726,205.44606,36.655197,205.44606,50.766376,50.766376,137.0726,137.63316,137.0726,137.0726,36.655197,205.44606
2020-02-26,203.70082,32.575874,6.1010346,37.51366,134.55951,71.66124,165.8775,129.71835,203.70082,71.66124,203.70082,134.55951,165.8775,203.70082,165.8775,203.70082,165.8775,833.2749,203.70082,129.71835,134.55951,134.55951,203.70082,37.51366,203.70082,51.566929,51.566929,134.55951,129.71835,134.55951,134.55951,37.51366,203.70082
